Video-Streaming;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Stimulus-ID;Assessment;"Tinit [ms]";"RUL [kbps]";"RDL [kbps]";"DUL [ms]";"DDL [ms]";"Stimulus in picture";Codec;;;;Video;Link;Assessment
WB-F-1;"Basic set";40;350;50000;18;18;Reference;;;;;"ETSI Kepler Reference Web Page
Excerpt from 00:00 (min:sec) to 00:30 (min:sec).";https://docbox.etsi.org/STQ/Open/Kepler;Throughput
WB-F-2;"Basic set";40;350;20000;18;18;Assessment;;;;
WB-F-3;"Basic set";40;350;10000;18;18;Assessment;;;;
WB-F-4;"Basic set";85;300;5000;18;18;Assessment;;;;
WB-F-5;"Basic set";160;220;2000;18;18;Assessment;;;;
WB-F-6;"Basic set";180;186;1000;18;18;Assessment;;;;
WB-F-7;"Basic set";184;180;750;18;18;Assessment;;;;
WB-F-8;"Basic set";190;172;500;18;18;Assessment;;;;
WB-F-9;"Basic set";200;155;200;18;18;Assessment;;;;
WB-F-10;"Basic set";205;80;100;18;18;Assessment;;;;
;;;;;;;;;;;
"Parameter übernommen von WB-B.";;;;;;;;;;;
Stimulus-ID;Assessment;"Tinit [ms]";"RUL [kbps]";"RDL [kbps]";"DUL [ms]";"DDL [ms]";"Stimulus in picture";"Codec";"Dynamic";"Num. Rebuffering";"Rebuffering duration  [ms]";"Web site";Link;Assessment
WB-G-1;"Basic set";40;350;50000;18;18;Reference;;;;;"Anzeige der Amazon Webseite
Excerpt from 00:00 (min:sec) to 00:30 (min:sec)";https://www.amazon.de;Throughput
WB-G-2;"Basic set";40;350;20000;18;18;Assessment;;;;
WB-G-3;"Basic set";40;350;10000;18;18;Assessment;;;;
WB-G-4;"Basic set";85;300;5000;18;18;Assessment;;;;
WB-G-5;"Basic set";160;220;2000;18;18;Assessment;;;;
WB-G-6;"Basic set";180;186;1000;18;18;Assessment;;;;
WB-G-7;"Basic set";184;180;750;18;18;Assessment;;;;
WB-G-8;"Basic set";190;172;500;18;18;Assessment;;;;
WB-G-9;"Basic set";200;155;200;18;18;Assessment;;;;
WB-G-10;"Basic set";205;80;100;18;18;Assessment;;;;
;;;;;;;;;;;
"Parameter übernommen von WB-B.";;;;;;;;;;;
Stimulus-ID;Assessment;"Tinit [ms]";"RUL [kbps]";"RDL [kbps]";"DUL [ms]";"DDL [ms]";"Stimulus in picture";"Codec";"Dynamic";"Num. Rebuffering";"Rebuffering duration  [ms]";"Web site";Link;Assessment
WB-H-1;"Basic set";40;350;50000;18;18;Reference;;;;;"Starten der Ebay-App
Excerpt from 00:00 (min:sec) to 00:30 (min:sec)"; https://www.ebay.de;Throughput
WB-H-2;"Basic set";40;350;20000;18;18;Assessment;;;;
WB-H-3;"Basic set";40;350;10000;18;18;Assessment;;;;
WB-H-4;"Basic set";85;300;5000;18;18;Assessment;;;;
WB-H-5;"Basic set";160;220;2000;18;18;Assessment;;;;
WB-H-6;"Basic set";180;186;1000;18;18;Assessment;;;;
WB-H-7;"Basic set";184;180;750;18;18;Assessment;;;;
WB-H-8;"Basic set";190;172;500;18;18;Assessment;;;;
WB-H-9;"Basic set";200;155;200;18;18;Assessment;;;;
WB-H-10;"Basic set";205;80;100;18;18;Assessment;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
"Sequence of web pages";;;;;;;;;;;
;;;;;;;;;;;
"Parameter übernommen von WB-B.";;;;;;;;;;;
Stimulus-ID;Assessment;"Tinit [ms]";"RUL [kbps]";"RDL [kbps]";"DUL [ms]";"DDL [ms]";"Stimulus in picture";"Codec";"Dynamic";"Num. Rebuffering";"Rebuffering duration  [ms]";"Web site";Link;Assessment
WB-I-1;"Basic set";40;350;50000;18;18;Reference;;;;;"manual input ""Perpignan"" → click on: de.wikipedia.org/wiki/Perpignan
Excerpt from 00:00 (min:sec) to 00:30 (min:sec).
Resolution: Auto";https://www.google.de/;Throughput
WB-I-2;"Basic set";40;350;20000;18;18;Assessment;;;;
WB-I-3;"Basic set";40;350;10000;18;18;Assessment;;;;
WB-I-4;"Basic set";85;300;5000;18;18;Assessment;;;;
WB-I-5;"Basic set";160;220;2000;18;18;Assessment;;;;
WB-I-6;"Basic set";180;186;1000;18;18;Assessment;;;;
WB-I-7;"Basic set";184;180;750;18;18;Assessment;;;;
WB-I-8;"Basic set";190;172;500;18;18;Assessment;;;;
WB-I-9;"Basic set";200;155;200;18;18;Assessment;;;;
WB-I-10;"Basic set";205;80;100;18;18;Assessment;;;;
;;;;;;;;;;;
;;;;;;;;;;;
"Parameter übernommen von WB-B.";;;;;;;;;;;
